Year,Month,Population,Flu,Flu_BP,Flu_LP,Flu_O,BP,LP,Flu_deaths,Flu_BP_deaths,Flu_LP_deaths,Flu_O_deaths,BP_deaths,LP_deaths
1917,10,7007,14,0,0,0,4,4,0,0,0,0,0,1
1917,11,16986,109,0,0,0,75,40,0,0,0,0,15,3
1917,12,19279,480,0,0,0,101,59,0,0,0,0,15,10
1918,1,23657,342,2,2,35,44,49,0,1,0,0,10,3
1918,2,20821,177,0,2,13,8,44,0,0,0,0,1,2
1918,3,21561,72,0,0,9,3,26,0,0,0,0,0,0
1918,4,19349,487,2,2,81,7,50,0,0,0,0,1,5
1918,5,19888,335,1,3,29,7,16,0,0,2,0,0,3
1918,6,18980,38,2,0,9,0,18,0,0,0,0,0,1
1918,7,23351,61,2,1,10,1,22,0,0,0,0,0,2
1918,8,4001,9,4,3,10,1,19,0,1,0,0,1,1
1918,9,7246,2894,285,205,136,38,59,2,80,61,3,11,21
1918,10,9001,1738,366,212,40,121,72,2,92,49,0,46,32
1918,11,10149,82,6,1,9,7,3,1,1,0,0,0,0
1918,12,7806,20,1,1,2,6,8,2,0,0,0,0,1
