Year,Month,Population,Flu,Flu_BP,Flu_LP,Flu_O,BP,LP,Flu_deaths,Flu_BP_deaths,Flu_LP_deaths,Flu_O_deaths,BP_deaths,LP_deaths
1917,10,29901,39,0,0,0,2,35,0,0,0,0,0,1
1917,11,24474,231,0,0,0,59,279,0,0,0,0,12,33
1917,12,23193,669,0,0,0,126,196,0,0,0,0,12,20
1918,1,24880,244,0,2,1,13,130,0,0,0,0,0,6
1918,2,24492,209,0,1,0,8,152,0,0,0,0,0,9
1918,3,24585,453,0,0,6,8,86,0,0,0,0,3,5
1918,4,23646,977,0,1,6,3,81,0,0,0,0,2,6
1918,5,29524,85,0,0,3,2,11,0,0,0,0,0,2
1918,6,27564,43,0,0,0,4,24,0,0,0,0,1,0
1918,7,9266,12,0,1,1,1,8,0,0,0,0,1,2
1918,8,3912,4,1,0,1,1,1,0,0,0,0,0,0
1918,9,8222,611,56,30,69,0,2,0,10,6,0,0,2
1918,10,10027,2735,397,70,126,102,15,0,80,12,1,37,4
1918,11,8298,122,7,1,6,69,3,0,0,0,0,6,1
1918,12,6361,33,6,0,0,27,3,0,1,0,0,0,0
