Year,Month,Population,Flu,Flu_BP,Flu_LP,Flu_O,BP,LP,Flu_deaths,Flu_BP_deaths,Flu_LP_deaths,Flu_O_deaths,BP_deaths,LP_deaths
1917,10,17338,40,0,0,0,0,9,0,0,0,0,0,0
1917,11,17941,44,0,0,0,0,7,0,0,0,0,0,0
1917,12,22116,76,0,0,0,1,12,0,0,0,0,0,0
1918,1,22190,102,0,0,0,9,28,0,0,0,0,1,5
1918,2,20417,84,0,0,1,2,11,0,0,0,0,1,3
1918,3,16584,299,0,0,4,18,11,0,0,0,0,6,6
1918,4,24402,371,1,1,4,60,22,0,1,0,0,14,4
1918,5,28404,35,1,0,1,38,33,0,0,0,0,7,4
1918,6,32504,20,0,0,0,7,8,0,0,0,0,0,0
1918,7,16116,4,0,0,5,1,2,0,0,0,0,0,0
1918,8,28455,15,1,0,1,5,0,0,1,0,0,1,0
1918,9,37187,908,149,0,32,161,2,0,46,0,0,71,0
1918,10,37861,5412,1087,3,49,606,6,1,370,1,5,232,0
1918,11,32932,57,10,0,1,25,2,0,2,0,0,2,0
1918,12,29893,6,0,0,0,9,0,0,0,0,0,2,0
