Year,Month,Population,Flu,Flu_BP,Flu_LP,Flu_O,BP,LP,Flu_deaths,Flu_BP_deaths,Flu_LP_deaths,Flu_O_deaths,BP_deaths,LP_deaths
1917,10,26756,19,0,0,0,1,8,0,0,0,0,0,2
1917,11,26848,72,0,0,0,8,7,0,0,0,0,1,1
1917,12,26832,111,0,0,0,7,9,0,0,0,0,0,1
1918,1,26333,53,0,0,1,1,19,0,0,0,0,0,2
1918,2,24119,77,0,0,3,12,21,0,0,0,0,1,2
1918,3,26631,92,0,0,3,28,67,0,0,0,0,2,13
1918,4,29488,77,0,1,0,8,125,0,0,1,0,0,22
1918,5,36612,19,0,2,3,6,71,0,0,0,0,0,9
1918,6,46658,13,0,1,0,2,32,0,0,1,0,0,2
1918,7,21186,23,0,2,2,2,28,0,0,1,0,0,2
1918,8,39168,15,0,3,8,3,95,0,0,0,0,0,0
1918,9,44239,8086,198,872,173,197,989,9,47,160,2,55,373
1918,10,39887,906,17,66,51,32,113,0,1,3,0,3,7
1918,11,41506,26,1,4,1,10,37,0,0,1,0,1,3
1918,12,27261,100,13,3,5,10,30,0,2,2,0,0,3
