Year,Month,Population,Flu,Flu_BP,Flu_LP,Flu_O,BP,LP,Flu_deaths,Flu_BP_deaths,Flu_LP_deaths,Flu_O_deaths,BP_deaths,LP_deaths
1917,10,21882,222,0,0,0,5,35,0,0,0,0,1,0
1917,11,21911,337,0,0,0,3,11,0,0,0,0,0,3
1917,12,17382,270,0,0,0,1,48,0,0,0,0,1,4
1918,1,19130,277,1,0,4,4,31,0,0,0,0,3,5
1918,2,19603,259,0,0,6,2,36,0,0,0,0,1,7
1918,3,29964,955,0,4,16,123,150,0,0,2,0,12,54
1918,4,20947,350,0,3,13,8,186,0,0,2,0,4,57
1918,5,26627,221,1,0,8,7,59,0,0,0,0,4,12
1918,6,30096,134,2,0,5,0,14,0,2,0,0,0,0
1918,7,44991,127,0,3,8,2,19,0,0,1,0,1,3
1918,8,34120,7,9,9,14,3,33,0,3,5,0,2,5
1918,9,27793,555,79,34,89,8,34,0,31,15,3,7,6
1918,10,32346,7417,1601,486,230,9,8,4,461,157,3,2,1
1918,11,27869,331,95,25,41,2,2,0,10,1,1,1,0
1918,12,18005,283,19,2,13,4,2,0,4,0,0,0,0
