Year,Month,Population,Flu,Flu_BP,Flu_LP,Flu_O,BP,LP,Flu_deaths,Flu_BP_deaths,Flu_LP_deaths,Flu_O_deaths,BP_deaths,LP_deaths
1917,10,21919,46,0,0,0,0,14,0,0,0,0,0,1
1917,11,21885,146,0,0,0,0,76,0,0,0,0,0,7
1917,12,25660,343,0,0,0,5,79,0,0,0,0,0,5
1918,1,24659,419,0,2,9,17,93,1,0,0,1,10,16
1918,2,24426,341,0,3,13,5,88,0,0,0,0,3,12
1918,3,20839,539,1,3,15,6,46,0,1,1,1,1,14
1918,4,19422,714,0,5,24,6,48,0,0,2,0,4,9
1918,5,7383,237,0,1,8,2,11,0,0,0,0,2,1
1918,6,5758,16,0,0,1,0,1,0,0,0,0,0,0
1918,7,837,30,1,0,4,0,9,0,1,0,0,0,0
1918,8,910,24,0,0,2,1,3,0,0,0,0,0,0
1918,9,834,74,8,2,8,0,82,0,1,0,0,0,0
1918,10,1232,1844,144,30,63,7,4,1,46,10,0,2,2
1918,11,1823,206,18,0,15,0,1,0,4,0,0,0,0
1918,12,1765,383,35,8,18,6,3,0,8,4,0,2,2
