Year,Month,Population,Flu,Flu_BP,Flu_LP,Flu_O,BP,LP,Flu_deaths,Flu_BP_deaths,Flu_LP_deaths,Flu_O_deaths,BP_deaths,LP_deaths
1917,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1917,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1917,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1918,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1918,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1918,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1918,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1918,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1918,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1918,7,989,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
1918,8,2034,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA
1918,9,2031,283,33,3,8,0,2,2,6,1,1,0,1
1918,10,7236,1417,153,3,24,7,4,2,63,3,0,0,2
1918,11,10689,345,32,1,3,3,4,0,7,0,0,1,1
1918,12,3551,125,15,3,3,4,8,0,4,1,0,1,0
