Year,Month,Population,Flu,Flu_BP,Flu_LP,Flu_O,BP,LP,Flu_deaths,Flu_BP_deaths,Flu_LP_deaths,Flu_O_deaths,BP_deaths,LP_deaths
1917,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1917,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1917,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1918,1,6744,9,0,0,0,3,10,0,0,0,0,0,0
1918,2,9942,6,0,0,0,0,11,0,0,0,0,0,1
1918,3,13424,36,0,0,3,1,7,0,0,0,0,0,0
1918,4,13586,420,0,1,8,0,4,0,0,1,0,0,0
1918,5,19790,23,0,0,0,0,25,0,0,0,0,0,6
1918,6,23045,15,0,0,0,5,20,0,0,0,0,1,1
1918,7,19371,0,0,0,0,3,2,0,0,0,0,0,0
1918,8,22305,2,0,1,0,15,27,0,0,0,0,3,8
1918,9,22911,3,2,2,2,2,8,0,0,2,0,0,0
1918,10,18836,392,31,63,50,75,173,0,14,44,0,16,52
1918,11,6119,11,3,1,1,3,4,0,1,0,0,0,2
1918,12,4274,7,0,1,0,1,2,0,0,0,0,1,0
