Year,Month,Population,Flu,Flu_BP,Flu_LP,Flu_O,BP,LP,Flu_deaths,Flu_BP_deaths,Flu_LP_deaths,Flu_O_deaths,BP_deaths,LP_deaths
1917,10,15785,49,0,0,0,1,13,NA,0,0,0,1,2
1917,11,26914,144,0,0,0,6,14,NA,0,0,0,1,3
1917,12,32961,723,0,0,0,7,18,NA,0,0,0,0,1
1918,1,31102,303,0,1,8,9,43,NA,0,0,0,3,7
1918,2,27020,198,0,1,6,4,18,NA,0,0,0,2,3
1918,3,31838,215,0,2,7,1,23,NA,0,0,0,0,1
1918,4,30909,856,2,0,29,14,134,NA,1,0,0,3,39
1918,5,28981,426,0,5,70,19,92,NA,0,1,1,4,17
1918,6,37089,125,1,1,16,7,25,NA,0,1,0,1,3
1918,7,37232,78,0,0,23,13,76,NA,0,0,0,0,9
1918,8,46112,238,0,2,27,22,133,NA,0,0,1,3,21
1918,9,40703,696,3,6,40,28,96,NA,1,2,0,8,39
1918,10,31928,132,4,8,7,25,90,NA,1,3,0,3,30
1918,11,23709,7,1,1,2,14,14,NA,0,0,0,1,0
1918,12,13923,3,0,0,1,11,7,NA,0,0,0,3,0
