Year,Month,Population,Flu,Flu_BP,Flu_LP,Flu_O,BP,LP,Flu_deaths,Flu_BP_deaths,Flu_LP_deaths,Flu_O_deaths,BP_deaths,LP_deaths
1917,10,27474,83,0,0,0,4,18,0,0,0,0,0,1
1917,11,23305,56,0,0,0,2,15,0,0,0,0,0,2
1917,12,20770,70,0,0,0,3,21,0,0,0,0,0,1
1918,1,23833,123,0,0,5,3,37,0,0,0,0,1,5
1918,2,21765,112,0,0,5,1,24,0,0,0,0,0,5
1918,3,26645,299,0,2,7,0,34,0,0,0,0,0,5
1918,4,25420,288,0,1,14,29,60,1,0,0,0,14,15
1918,5,28537,79,0,0,4,2,26,0,0,0,0,2,4
1918,6,25785,26,0,0,1,0,11,0,0,0,0,0,1
1918,7,41206,56,1,3,4,0,24,0,0,1,0,0,5
1918,8,33858,4,0,2,2,1,18,0,0,1,0,0,5
1918,9,47100,4593,16,1112,77,1,24,3,7,540,4,0,9
1918,10,55185,2261,8,961,54,2,420,1,2,345,3,0,128
1918,11,38192,81,1,9,9,2,20,0,0,3,0,0,3
1918,12,24306,127,1,11,10,6,21,0,0,1,0,0,3
