Year,Month,Population,Flu,Flu_BP,Flu_LP,Flu_O,BP,LP,Flu_deaths,Flu_BP_deaths,Flu_LP_deaths,Flu_O_deaths,BP_deaths,LP_deaths
1917,10,NA,25,0,0,0,2,15,0,0,0,0,0,1
1917,11,NA,33,0,0,0,2,21,0,0,0,0,0,4
1917,12,NA,565,0,0,0,9,55,0,0,0,0,1,3
1918,1,36727,684,1,7,25,6,128,0,1,0,1,2,26
1918,2,39063,297,0,1,16,4,64,0,0,0,0,0,6
1918,3,37216,252,0,4,17,1,58,0,0,0,0,0,12
1918,4,22431,975,2,9,51,2,78,0,0,3,0,0,16
1918,5,17048,55,0,1,5,0,4,0,0,1,0,0,1
1918,6,11413,20,0,1,1,0,2,0,0,0,0,0,0
1918,7,7588,8,0,0,2,0,1,0,0,0,0,0,0
1918,8,8515,6,0,5,7,0,9,0,0,2,0,0,4
1918,9,14737,154,1,21,52,3,5,0,1,13,2,1,4
1918,10,27848,3461,13,414,110,4,105,5,7,149,2,1,37
1918,11,12945,73,2,22,5,0,47,0,1,2,0,0,0
1918,12,10981,56,0,13,6,0,32,0,0,2,0,0,2
