Year,Month,Population,Flu,Flu_BP,Flu_LP,Flu_O,BP,LP,Flu_deaths,Flu_BP_deaths,Flu_LP_deaths,Flu_O_deaths,BP_deaths,LP_deaths
1917,10,29909,11,0,0,0,0,1,0,0,0,0,0,0
1917,11,35089,23,0,0,0,0,17,0,0,0,0,0,4
1917,12,31841,135,0,0,0,12,37,0,0,0,0,1,5
1918,1,30638,599,1,1,20,20,67,0,1,0,1,8,13
1918,2,31995,264,0,2,8,4,38,0,0,0,0,1,9
1918,3,29801,330,0,2,9,3,32,0,0,0,1,1,4
1918,4,30498,524,0,2,3,8,31,0,0,0,0,4,3
1918,5,45775,36,1,0,4,5,16,0,0,0,0,3,0
1918,6,41629,5,1,1,1,1,17,0,1,0,0,1,2
1918,7,54890,14,4,1,3,4,17,0,2,1,0,1,0
1918,8,47695,11,6,0,7,5,6,0,0,0,0,0,0
1918,9,52598,6200,794,51,103,14,6,4,317,36,3,5,3
1918,10,49017,4527,751,12,82,45,7,2,250,4,3,15,5
1918,11,37773,151,16,0,18,6,6,0,2,0,0,0,1
1918,12,35981,570,30,0,28,8,11,0,4,0,0,0,1
