Year,Month,Population,Flu,Flu_BP,Flu_LP,Flu_O,BP,LP,Flu_deaths,Flu_BP_deaths,Flu_LP_deaths,Flu_O_deaths,BP_deaths,LP_deaths
1917,10,22253,36,0,0,0,2,17,0,0,0,0,1,0
1917,11,30293,65,0,0,0,2,33,0,0,0,0,0,2
1917,12,32198,111,0,0,0,5,31,0,0,0,0,0,5
1918,1,31326,184,0,0,3,2,62,0,0,0,0,0,4
1918,2,30179,139,0,0,3,0,48,0,0,0,0,0,2
1918,3,27721,119,0,0,1,4,22,0,0,0,0,0,1
1918,4,31596,2724,2,5,25,4,38,0,0,0,0,2,4
1918,5,21262,274,0,0,8,1,6,0,0,0,0,0,0
1918,6,3443,34,0,0,0,3,3,0,0,0,0,0,0
1918,7,9945,83,0,2,6,6,4,0,0,1,0,0,0
1918,8,9060,81,2,1,13,1,5,0,2,0,0,0,0
1918,9,9353,1880,24,227,107,9,49,2,4,59,2,1,15
1918,10,13718,1211,11,144,52,0,42,1,1,11,0,0,14
1918,11,16757,140,1,2,17,0,4,0,0,0,0,0,0
1918,12,14975,147,4,9,20,1,8,0,0,1,0,0,0
