Year,Month,Population,Flu,Flu_BP,Flu_LP,Flu_O,BP,LP,Flu_deaths,Flu_BP_deaths,Flu_LP_deaths,Flu_O_deaths,BP_deaths,LP_deaths
1917,10,23133,44,0,0,0,2,10,0,0,0,0,0,1
1917,11,25698,142,0,0,0,2,11,0,0,0,0,0,0
1917,12,20107,271,0,0,0,9,24,0,0,0,0,0,0
1918,1,23793,177,1,1,2,5,21,0,0,0,0,3,1
1918,2,23318,101,0,0,1,2,20,0,0,0,0,1,5
1918,3,22324,82,0,0,2,0,16,0,0,0,0,0,2
1918,4,20864,1229,0,0,43,0,22,0,0,0,0,0,3
1918,5,25315,100,0,5,7,0,1,0,0,0,1,0,0
1918,6,11111,21,0,0,0,0,5,0,0,0,0,0,1
1918,7,5020,4,0,0,3,1,2,0,0,0,0,0,0
1918,8,13763,4,0,2,6,1,12,0,0,0,0,0,2
1918,9,16615,122,8,9,31,3,20,0,1,2,2,3,7
1918,10,26888,4330,295,432,147,49,157,2,43,103,1,24,55
1918,11,25207,229,32,9,24,34,38,0,4,3,0,2,4
1918,12,19471,59,9,2,6,48,15,1,3,0,0,9,2
