Year,Month,Population,Flu,Flu_BP,Flu_LP,Flu_O,BP,LP,Flu_deaths,Flu_BP_deaths,Flu_LP_deaths,Flu_O_deaths,BP_deaths,LP_deaths
1917,10,16526,24,0,0,0,1,3,0,0,0,0,0,0
1917,11,31131,87,0,0,0,4,25,0,0,0,0,0,4
1917,12,35374,372,0,0,0,8,49,0,0,0,0,1,2
1918,1,28221,253,1,2,10,7,74,0,1,1,0,1,15
1918,2,29780,103,0,1,7,3,35,0,0,0,0,1,6
1918,3,30540,359,0,1,8,10,75,0,0,0,0,2,10
1918,4,25220,203,0,3,5,9,42,0,0,0,0,3,9
1918,5,30941,100,1,1,3,6,18,0,1,0,0,1,1
1918,6,41724,37,0,0,0,4,7,0,0,0,0,1,0
1918,7,38379,49,2,1,1,7,4,0,1,1,0,1,1
1918,8,35577,41,2,2,5,7,8,1,2,0,0,0,19
1918,9,34246,6271,928,170,96,73,18,4,267,33,0,21,6
1918,10,45853,4199,1479,191,60,400,51,2,282,15,1,103,15
1918,11,41050,176,10,1,12,18,4,0,1,1,0,1,0
1918,12,35421,87,2,0,6,14,9,0,0,0,1,3,1
