Year,Month,Population,Flu,Flu_BP,Flu_LP,Flu_O,BP,LP,Flu_deaths,Flu_BP_deaths,Flu_LP_deaths,Flu_O_deaths,BP_deaths,LP_deaths
1917,10,32339,132,0,0,0,1,20,0,0,0,0,0,0
1917,11,40058,161,0,0,0,8,39,0,0,0,0,1,4
1917,12,26963,60,0,0,0,2,18,0,0,0,0,1,1
1918,1,180,1,0,0,0,0,1,0,0,0,0,0,1
1918,2,207,2,0,0,0,0,0,0,0,0,0,0,0
1918,3,2316,13,0,1,0,1,0,0,0,0,0,0,0
1918,4,16025,57,0,1,4,4,21,0,0,0,0,3,3
1918,5,20109,9,0,0,1,1,7,0,0,0,0,0,0
1918,6,24137,17,0,0,1,1,5,0,0,0,0,0,0
1918,7,26643,11,0,2,3,1,2,0,0,1,0,0,1
1918,8,28339,10,0,4,12,1,4,0,0,4,0,0,1
1918,9,3183,507,14,74,62,5,2,0,8,36,1,2,4
1918,10,12882,1693,22,699,146,3,22,3,9,262,2,0,17
1918,11,12504,359,8,32,34,2,1,0,1,11,2,0,0
1918,12,10339,332,1,20,7,7,2,0,1,9,0,0,1
