Year,Month,Population,Flu,Flu_BP,Flu_LP,Flu_O,BP,LP,Flu_deaths,Flu_BP_deaths,Flu_LP_deaths,Flu_O_deaths,BP_deaths,LP_deaths
1917,10,22462,28,0,0,0,4,57,0,0,0,0,0,5
1917,11,27623,77,0,0,0,18,144,0,0,0,0,6,33
1917,12,30410,391,0,0,0,41,165,0,0,0,0,2,26
1918,1,27420,487,2,1,3,25,116,0,0,0,0,8,23
1918,2,27862,211,0,0,0,30,64,0,0,0,0,2,5
1918,3,28884,255,0,0,3,38,122,0,0,0,0,2,31
1918,4,27155,368,0,1,5,13,90,0,0,0,0,2,15
1918,5,34998,175,1,0,1,22,82,0,0,0,0,4,20
1918,6,28119,24,0,0,0,13,44,0,0,0,0,1,11
1918,7,42962,95,0,0,2,21,58,0,0,0,0,1,6
1918,8,45302,63,1,1,9,13,73,1,0,1,0,5,18
1918,9,52423,5968,148,151,215,79,140,2,36,63,5,33,58
1918,10,52066,4918,114,111,175,233,309,3,28,37,0,66,93
1918,11,36786,166,6,1,15,13,32,0,0,1,1,2,2
1918,12,24973,72,3,1,10,13,20,0,0,0,1,1,5
