Year,Month,Population,Flu,Flu_BP,Flu_LP,Flu_O,BP,LP,Flu_deaths,Flu_BP_deaths,Flu_LP_deaths,Flu_O_deaths,BP_deaths,LP_deaths
1917,10,22771,28,0,0,0,0,24,0,0,0,0,0,7
1917,11,25553,148,0,0,0,22,38,0,0,0,0,7,10
1917,12,26329,85,0,0,0,13,29,0,0,0,0,6,3
1918,1,25672,203,2,2,13,12,83,0,0,0,0,2,12
1918,2,27728,167,0,0,13,6,39,0,0,0,0,4,3
1918,3,23755,127,2,0,14,1,16,0,1,0,0,0,0
1918,4,27739,610,2,6,35,6,25,0,0,3,0,2,4
1918,5,11801,33,0,1,13,0,4,0,0,1,0,0,0
1918,6,15884,84,0,1,38,3,18,0,0,0,0,0,1
1918,7,7087,35,2,0,18,0,7,0,0,0,0,0,1
1918,8,8513,8,2,0,7,3,3,0,1,0,0,2,0
1918,9,21711,1820,247,48,76,40,21,0,77,19,2,12,11
1918,10,25998,2939,564,88,52,65,15,2,147,33,2,27,7
1918,11,22675,124,12,4,16,15,8,0,0,1,0,0,1
1918,12,18126,84,8,6,6,3,4,0,4,1,0,1,0
