Year,Month,Population,Flu,Flu_BP,Flu_LP,Flu_O,BP,LP,Flu_deaths,Flu_BP_deaths,Flu_LP_deaths,Flu_O_deaths,BP_deaths,LP_deaths
1917,10,20198,8,0,0,0,0,5,0,0,0,0,0,0
1917,11,23195,22,0,0,0,4,15,0,0,0,0,0,0
1917,12,23812,20,0,0,0,7,11,0,0,0,0,0,1
1918,1,21218,49,0,0,1,4,30,0,0,0,0,2,5
1918,2,21147,9,0,0,2,2,16,0,0,0,0,0,1
1918,3,21825,7,0,0,2,0,7,0,0,0,0,0,1
1918,4,20158,1191,1,2,19,0,22,0,0,1,0,0,6
1918,5,20716,51,0,0,2,1,4,0,0,0,0,1,0
1918,6,10069,18,0,0,1,0,4,0,0,0,0,0,1
1918,7,10994,17,0,0,0,2,2,0,0,0,0,1,1
1918,8,20940,16,1,1,8,0,13,0,1,0,0,0,3
1918,9,17657,211,11,5,19,1,8,0,4,5,0,0,3
1918,10,19193,3870,441,9,39,14,4,0,126,5,1,9,1
1918,11,19775,81,9,0,7,11,6,0,0,0,0,2,2
1918,12,16523,2,0,1,0,5,20,0,0,0,0,0,3
