Year,Month,Population,Flu,Flu_BP,Flu_LP,Flu_O,BP,LP,Flu_deaths,Flu_BP_deaths,Flu_LP_deaths,Flu_O_deaths,BP_deaths,LP_deaths
1917,10,30690,45,0,0,0,2,27,0,0,0,0,0,1
1917,11,32048,227,0,0,0,7,54,0,0,0,0,0,4
1917,12,33175,291,0,0,0,11,67,0,0,0,0,0,7
1918,1,30918,331,0,1,18,5,34,0,0,0,0,1,8
1918,2,29927,548,1,5,38,1,42,1,0,1,0,0,4
1918,3,24073,942,1,16,55,6,55,0,0,2,1,1,18
1918,4,31135,1132,1,26,106,2,44,0,0,6,0,1,14
1918,5,23808,256,2,2,20,2,13,0,1,0,0,0,1
1918,6,24271,20,1,0,4,0,8,0,0,0,0,0,0
1918,7,34883,16,0,1,5,3,14,0,0,0,0,1,2
1918,8,27287,9,3,0,10,7,14,0,1,0,0,4,2
1918,9,30619,1358,262,32,73,286,26,0,110,17,0,141,36
1918,10,33470,4118,366,37,99,1567,159,2,113,13,3,551,87
1918,11,29448,43,0,0,10,21,17,0,0,0,0,1,2
1918,12,13293,22,3,1,1,4,8,0,1,0,0,1,2
