Year,Month,Population,Flu,Flu_BP,Flu_LP,Flu_O,BP,LP,Flu_deaths,Flu_BP_deaths,Flu_LP_deaths,Flu_O_deaths,BP_deaths,LP_deaths
1917,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1917,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1917,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1918,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1918,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1918,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1918,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1918,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1918,6,185,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA
1918,7,1383,2,0,0,0,1,0,0,0,0,0,1,0
1918,8,14442,20,1,0,0,1,2,0,1,0,0,1,2
1918,9,11494,1288,288,25,18,18,6,10,82,11,0,9,3
1918,10,9671,193,14,2,3,1,0,0,8,1,1,1,0
1918,11,2678,3,0,0,0,0,0,0,0,0,0,0,0
1918,12,564,0,0,0,0,0,0,0,0,0,0,0,0
