Year,Month,Population,Flu,Flu_BP,Flu_LP,Flu_O,BP,LP,Flu_deaths,Flu_BP_deaths,Flu_LP_deaths,Flu_O_deaths,BP_deaths,LP_deaths
1917,10,27807,4,0,0,0,1,6,0,0,0,0,0,1
1917,11,24540,19,0,0,0,1,8,0,0,0,0,0,0
1917,12,28276,96,0,0,0,4,29,0,0,0,0,0,2
1918,1,25364,173,1,3,17,4,33,0,1,0,0,1,9
1918,2,28866,129,0,2,7,2,18,0,0,0,0,0,2
1918,3,33516,982,2,6,41,16,84,0,0,4,0,6,29
1918,4,41289,173,0,0,5,11,46,0,0,0,0,1,11
1918,5,35645,75,0,1,0,9,16,0,0,0,0,0,2
1918,6,29242,8,2,0,2,5,14,0,1,0,0,1,0
1918,7,38031,29,3,3,8,3,6,0,1,1,0,0,3
1918,8,31150,20,3,1,0,3,8,0,0,1,0,0,0
1918,9,31722,2439,299,197,98,63,39,2,74,77,2,18,21
1918,10,15028,1802,330,53,41,246,57,2,75,25,2,62,26
1918,11,15566,375,123,6,19,34,1,0,21,1,0,6,0
1918,12,16962,91,24,1,8,23,6,0,9,0,0,11,0
