Year,Month,Population,Flu,Flu_BP,Flu_LP,Flu_O,BP,LP,Flu_deaths,Flu_BP_deaths,Flu_LP_deaths,Flu_O_deaths,BP_deaths,LP_deaths
1917,10,21583,104,0,0,0,15,47,0,0,0,0,5,9
1917,11,23850,226,0,0,0,42,324,0,0,0,0,13,61
1917,12,23503,355,0,0,0,12,239,0,0,0,0,1,20
1918,1,21038,508,0,1,23,0,194,0,0,0,0,0,30
1918,2,20049,395,0,4,21,7,54,0,0,0,0,0,7
1918,3,18908,236,0,1,8,2,35,0,0,0,0,1,3
1918,4,18505,1922,0,9,36,2,84,0,0,1,0,2,16
1918,5,19854,161,0,1,5,2,20,0,0,0,0,0,5
1918,6,25331,76,0,0,3,0,26,0,0,0,0,0,6
1918,7,27754,44,0,0,7,0,13,0,0,0,0,0,4
1918,8,22574,139,0,2,14,1,133,0,0,0,0,1,25
1918,9,18262,133,0,0,9,0,45,0,0,0,0,0,4
1918,10,14574,335,7,20,27,51,290,0,4,3,0,17,74
1918,11,14836,98,0,0,13,123,95,0,0,0,0,10,27
1918,12,8706,24,1,1,0,21,13,0,0,1,0,2,0
