Year,Month,Population,Flu,Flu_BP,Flu_LP,Flu_O,BP,LP,Flu_deaths,Flu_BP_deaths,Flu_LP_deaths,Flu_O_deaths,BP_deaths,LP_deaths
1917,10,21095,77,0,0,0,3,8,0,0,0,0,0,0
1917,11,20281,378,0,0,0,7,47,0,0,0,1,2,8
1917,12,20603,566,0,0,0,10,135,0,0,0,0,0,19
1918,1,23688,350,0,1,5,8,126,0,0,0,0,2,24
1918,2,22246,152,0,2,8,4,117,0,0,0,0,0,13
1918,3,21912,177,1,0,4,5,54,0,0,0,0,0,13
1918,4,21322,321,0,1,4,3,54,0,0,0,0,0,9
1918,5,22500,117,0,2,1,5,29,0,0,0,0,1,4
1918,6,26615,92,0,2,3,29,56,0,0,0,0,1,10
1918,7,23899,22,0,0,0,2,21,0,0,0,0,0,1
1918,8,11235,10,5,2,8,7,12,0,2,0,0,1,3
1918,9,4081,11,1,4,1,2,165,0,0,3,0,1,2
1918,10,5117,1633,45,6,54,2,0,0,147,4,0,1,0
1918,11,8494,304,203,1,17,35,2,1,85,0,0,6,0
1918,12,2431,23,5,0,0,3,1,0,4,0,0,0,0
