Year,Month,Population,Flu,Flu_BP,Flu_LP,Flu_O,BP,LP,Flu_deaths,Flu_BP_deaths,Flu_LP_deaths,Flu_O_deaths,BP_deaths,LP_deaths
1917,10,23748,114,0,0,0,1,4,0,0,0,0,0,0
1917,11,23128,197,0,0,0,1,4,0,0,0,0,0,0
1917,12,21122,154,0,0,0,2,15,0,0,0,0,0,3
1918,1,19171,148,0,0,5,2,17,0,0,0,0,0,1
1918,2,19416,98,1,0,7,1,4,1,1,0,0,0,2
1918,3,24484,1191,0,10,25,3,36,0,0,2,0,0,11
1918,4,35324,286,1,0,18,6,24,0,0,0,0,2,4
1918,5,32345,200,1,0,14,1,14,0,0,0,0,0,1
1918,6,40319,50,2,1,4,2,10,0,1,0,0,0,3
1918,7,49102,94,4,1,8,2,30,0,2,1,0,1,6
1918,8,53017,79,5,3,17,0,26,0,0,2,0,0,1
1918,9,47438,5437,987,318,75,222,24,14,289,155,4,83,65
1918,10,34052,596,145,27,27,126,0,0,33,7,1,25,7
1918,11,22499,85,11,5,4,20,0,0,4,0,0,4,3
1918,12,13016,86,8,2,2,8,6,0,1,1,0,2,0
