Year,Month,Population,Flu,Flu_BP,Flu_LP,Flu_O,BP,LP,Flu_deaths,Flu_BP_deaths,Flu_LP_deaths,Flu_O_deaths,BP_deaths,LP_deaths
1917,10,32953,234,0,0,0,2,54,0,0,0,0,0,5
1917,11,24018,922,0,0,0,6,58,0,0,0,0,2,2
1917,12,26077,739,0,0,0,6,16,0,0,0,0,4,1
1918,1,24885,579,1,2,22,13,98,0,0,0,0,3,14
1918,2,24628,412,2,5,43,8,76,0,0,1,0,2,9
1918,3,24792,2480,1,21,98,17,222,0,0,3,0,4,48
1918,4,25920,548,0,6,41,14,103,0,0,1,0,2,11
1918,5,25737,378,3,1,40,667,102,0,2,0,0,1,19
1918,6,19657,100,0,0,8,1,22,0,0,0,0,0,4
1918,7,36809,116,0,2,13,3,73,0,0,1,0,0,6
1918,8,39299,59,0,0,0,3,42,0,0,0,0,0,6
1918,9,49216,3534,86,236,95,15,202,3,36,101,2,6,58
1918,10,48011,11290,625,859,196,352,895,17,169,189,7,97,325
1918,11,41428,204,6,7,9,985,63,0,2,2,2,6,9
1918,12,32988,264,7,4,4,2000,66,6,3,2,2,6,10
