Year,Month,Population,Flu,Flu_BP,Flu_LP,Flu_O,BP,LP,Flu_deaths,Flu_BP_deaths,Flu_LP_deaths,Flu_O_deaths,BP_deaths,LP_deaths
1917,10,26965,3,0,0,0,0,1,0,0,0,0,0,0
1917,11,27237,6,0,0,0,2,4,0,0,0,0,0,0
1917,12,26046,27,0,0,0,1,8,0,0,0,0,0,0
1918,1,27982,41,0,0,2,14,47,0,0,0,0,3,5
1918,2,33939,24,0,0,0,6,18,0,0,0,0,3,3
1918,3,26989,10,0,0,1,3,11,0,0,0,0,1,1
1918,4,25938,298,1,1,5,3,15,0,1,0,0,1,0
1918,5,11332,10,0,0,1,3,0,0,0,0,0,0,0
1918,6,20705,14,0,0,1,5,7,0,0,0,0,0,0
1918,7,25626,21,2,0,1,2,6,0,1,0,0,0,0
1918,8,30628,23,2,0,21,3,21,0,1,0,0,0,1
1918,9,32375,949,198,104,45,12,35,2,74,52,2,2,8
1918,10,32869,5783,683,227,122,12,15,3,272,96,6,2,0
1918,11,30346,148,42,3,13,12,4,0,10,2,0,4,0
1918,12,27668,84,27,3,4,39,16,0,5,0,0,6,1
