Year,Month,Population,Flu,Flu_BP,Flu_LP,Flu_O,BP,LP,Flu_deaths,Flu_BP_deaths,Flu_LP_deaths,Flu_O_deaths,BP_deaths,LP_deaths
1917,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1917,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1917,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1918,1,169,14,0,1,2,1,2,0,0,0,0,0,0
1918,2,744,5,1,0,1,0,0,NA,NA,NA,NA,NA,NA
1918,3,2107,36,0,0,0,0,0,NA,NA,NA,NA,NA,NA
1918,4,3374,15,0,0,1,1,2,0,0,0,0,0,0
1918,5,7580,11,1,0,0,2,20,0,1,0,0,0,1
1918,6,15312,13,0,0,1,0,19,0,0,0,0,0,1
1918,7,18539,5,0,0,1,1,16,0,0,0,0,1,1
1918,8,20486,32,1,0,5,16,11,0,1,0,0,0,1
1918,9,23363,1337,221,22,27,71,32,4,85,8,1,21,6
1918,10,17476,1490,554,24,35,234,20,4,192,9,1,63,7
1918,11,12559,71,23,0,4,34,27,0,2,0,1,6,5
1918,12,7881,51,9,1,10,24,17,0,5,0,0,6,1
