Year,Month,Population,Flu,Flu_BP,Flu_LP,Flu_O,BP,LP,Flu_deaths,Flu_BP_deaths,Flu_LP_deaths,Flu_O_deaths,BP_deaths,LP_deaths
1917,10,14770,6,0,0,0,2,8,0,0,0,0,1,0
1917,11,15993,39,0,0,0,27,20,0,0,0,0,9,2
1917,12,17378,130,0,0,0,19,29,0,0,0,0,8,4
1918,1,14162,131,1,0,12,10,45,0,0,0,0,3,5
1918,2,16769,63,0,0,5,1,25,0,0,0,0,0,4
1918,3,17032,183,0,1,22,11,76,1,0,0,0,0,12
1918,4,16136,362,1,2,37,3,46,0,0,0,0,0,3
1918,5,20309,340,0,1,24,1,108,0,0,0,0,1,21
1918,6,31301,96,0,0,11,2,40,0,0,0,0,2,5
1918,7,42266,58,0,0,14,2,37,0,0,0,0,1,4
1918,8,41979,66,1,1,36,4,48,0,0,0,0,0,5
1918,9,40960,4432,349,121,377,122,142,2,91,46,5,31,43
1918,10,34502,2900,218,57,88,217,84,4,37,17,0,57,25
1918,11,34030,106,19,2,33,40,11,0,2,0,0,5,2
1918,12,27968,95,3,1,12,32,14,0,0,0,0,6,1
