Year,Month,Population,Flu,Flu_BP,Flu_LP,Flu_O,BP,LP,Flu_deaths,Flu_BP_deaths,Flu_LP_deaths,Flu_O_deaths,BP_deaths,LP_deaths
1917,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1917,11,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
1917,12,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,2,0
1918,1,19633,105,0,0,1,1,18,0,0,0,0,0,1
1918,2,18843,63,0,0,2,0,7,0,0,0,0,0,0
1918,3,18996,48,0,0,1,0,5,0,0,0,0,0,0
1918,4,21144,187,0,0,5,1,5,0,0,0,0,0,0
1918,5,23961,135,0,0,8,4,40,0,0,0,0,0,0
1918,6,23050,77,1,1,2,3,10,0,0,0,1,0,0
1918,7,25662,57,0,0,2,0,8,0,0,0,0,0,0
1918,8,28658,566,1,1,13,1,12,0,0,0,1,0,0
1918,9,27753,528,48,12,14,6,26,13,7,1,1,0,0
1918,10,29321,1843,447,37,23,49,8,104,17,1,6,0,0
1918,11,14632,31,3,0,1,10,7,0,0,0,0,1,0
1918,12,10239,40,8,0,5,8,2,0,0,1,2,0,0
