Year,Month,Population,Flu,Flu_BP,Flu_LP,Flu_O,BP,LP,Flu_deaths,Flu_BP_deaths,Flu_LP_deaths,Flu_O_deaths,BP_deaths,LP_deaths
1917,10,14839,38,0,0,0,4,10,0,0,0,0,0,2
1917,11,23239,182,0,0,0,6,54,0,0,0,0,0,4
1917,12,22228,190,0,0,0,21,56,0,0,0,0,1,3
1918,1,23159,224,2,0,13,6,20,0,1,0,0,1,4
1918,2,21909,112,1,1,5,2,12,0,0,0,0,0,1
1918,3,20558,64,0,1,6,0,4,0,NA,NA,NA,NA,NA
1918,4,20004,705,4,1,22,2,9,0,2,0,0,1,1
1918,5,19671,391,2,1,17,5,6,0,0,0,0,3,1
1918,6,18778,43,2,0,8,2,3,0,NA,NA,NA,NA,NA
1918,7,22265,96,1,1,8,0,8,0,0,1,0,0,1
1918,8,6134,4,0,0,0,0,1,0,NA,NA,NA,NA,NA
1918,9,13430,62,3,1,14,2,3,1,0,1,0,0,0
1918,10,15206,2162,257,19,38,3,2,0,62,5,0,0,0
1918,11,14913,1220,318,0,16,4,0,0,55,0,0,1,0
1918,12,13870,324,70,0,11,2,0,0,12,0,0,0,0
