Year,Month,Population,Flu,Flu_BP,Flu_LP,Flu_O,BP,LP,Flu_deaths,Flu_BP_deaths,Flu_LP_deaths,Flu_O_deaths,BP_deaths,LP_deaths
1917,10,36766,136,0,0,0,7,32,0,0,0,0,0,3
1917,11,36220,552,0,0,0,10,32,0,0,0,0,0,5
1917,12,35031,549,0,0,0,6,24,0,0,0,0,0,0
1918,1,34960,359,0,0,19,17,14,0,0,0,0,0,2
1918,2,30529,200,0,0,5,12,13,0,0,0,0,1,0
1918,3,27032,1291,0,6,44,7,14,1,0,2,0,0,1
1918,4,29782,1518,1,4,42,14,21,1,0,1,0,1,2
1918,5,38216,543,2,3,36,17,16,0,0,0,0,2,3
1918,6,42541,384,0,0,20,15,26,0,0,0,0,5,7
1918,7,23623,493,3,2,10,10,10,0,0,0,0,0,0
1918,8,29837,372,1,2,26,29,5,0,0,0,0,3,0
1918,9,34699,492,29,3,58,101,25,0,1,1,1,21,8
1918,10,33750,2129,582,10,310,266,8,0,69,3,1,50,2
1918,11,32362,384,197,0,76,350,2,0,10,0,0,2,0
1918,12,28433,105,45,0,10,261,2,0,1,0,0,4,0
