Year,Month,Population,Flu,Flu_BP,Flu_LP,Flu_O,BP,LP,Flu_deaths,Flu_BP_deaths,Flu_LP_deaths,Flu_O_deaths,BP_deaths,LP_deaths
1917,10,26422,12,0,0,0,1,8,0,0,0,0,0,0
1917,11,24273,54,0,0,0,1,24,0,0,0,0,0,2
1917,12,24047,30,0,0,0,2,43,0,0,0,0,0,1
1918,1,24310,198,0,0,1,10,152,0,0,0,0,6,24
1918,2,20164,132,0,1,0,3,56,0,0,0,0,1,6
1918,3,10243,53,0,0,3,2,19,0,0,0,0,1,2
1918,4,9087,178,0,1,18,1,11,0,0,0,0,0,0
1918,5,9306,51,0,1,4,1,16,0,0,0,0,0,2
1918,6,20700,44,2,1,3,0,8,0,1,0,0,0,2
1918,7,20941,27,0,1,5,2,16,0,0,0,0,1,2
1918,8,20393,9,2,1,14,2,20,0,0,1,0,0,1
1918,9,19776,234,30,12,40,4,11,0,10,6,0,1,3
1918,10,21861,5348,426,108,86,92,40,1,97,17,0,31,13
1918,11,20306,69,5,0,15,7,2,0,2,0,0,0,0
1918,12,13568,21,2,0,2,11,5,0,0,0,0,1,0
