Year,Month,Population,Flu,Flu_BP,Flu_LP,Flu_O,BP,LP,Flu_deaths,Flu_BP_deaths,Flu_LP_deaths,Flu_O_deaths,BP_deaths,LP_deaths
1917,10,21970,66,0,0,0,5,33,0,0,0,0,0,0
1917,11,24879,148,0,0,0,11,42,0,0,0,0,1,2
1917,12,24836,271,0,0,0,24,47,0,0,0,0,2,7
1918,1,24830,309,0,1,18,6,37,0,0,0,0,0,4
1918,2,24179,155,0,2,8,6,11,0,0,0,0,1,0
1918,3,24067,67,0,1,2,2,9,0,0,0,0,0,1
1918,4,24968,2604,9,1,52,20,12,0,0,0,0,0,3
1918,5,24662,94,0,0,1,3,1,0,0,0,0,0,0
1918,6,25209,50,0,0,1,4,8,0,0,0,0,0,0
1918,7,26134,47,0,0,0,4,11,0,0,0,0,1,0
1918,8,35110,204,5,3,48,24,21,0,0,0,0,4,4
1918,9,14291,593,14,14,58,20,0,0,0,0,0,3,1
1918,10,7502,1481,154,7,88,32,26,1,18,6,3,5,1
1918,11,9997,253,39,1,22,24,16,0,11,0,0,2,0
1918,12,7559,84,5,0,5,16,3,0,1,0,0,1,0
