Year,Month,Population,Flu,Flu_BP,Flu_LP,Flu_O,BP,LP,Flu_deaths,Flu_BP_deaths,Flu_LP_deaths,Flu_O_deaths,BP_deaths,LP_deaths
1917,10,22301,35,0,0,0,6,33,0,0,0,0,0,0
1917,11,22189,124,0,0,0,1,21,0,0,0,0,0,1
1917,12,21264,485,0,0,0,12,46,0,0,0,0,2,5
1918,1,21715,328,0,2,19,26,72,0,0,0,0,3,10
1918,2,20832,189,0,1,9,6,33,0,0,0,0,1,5
1918,3,23482,422,3,3,29,5,45,0,1,0,0,2,12
1918,4,20778,575,0,1,38,12,24,0,0,0,0,6,10
1918,5,24166,217,3,3,29,10,22,0,2,2,1,0,5
1918,6,27353,37,1,0,5,8,15,0,1,0,0,0,0
1918,7,36346,115,0,1,9,2,19,0,0,1,0,0,2
1918,8,42859,118,1,1,22,0,28,0,0,0,0,0,2
1918,9,55502,3387,553,151,158,15,81,4,209,49,6,4,19
1918,10,46524,5937,1167,242,212,154,43,3,408,59,6,21,7
1918,11,43165,175,30,6,32,74,0,0,0,2,2,3,2
1918,12,27738,105,41,2,14,32,16,0,10,1,1,7,4
