Year,Month,Population,Flu,Flu_BP,Flu_LP,Flu_O,BP,LP,Flu_deaths,Flu_BP_deaths,Flu_LP_deaths,Flu_O_deaths,BP_deaths,LP_deaths
1917,10,25659,87,0,0,0,7,62,0,0,0,0,0,3
1917,11,32399,206,0,0,0,15,119,0,0,0,0,1,12
1917,12,31515,271,0,0,0,25,189,0,0,0,0,3,15
1918,1,29216,1283,0,6,31,14,417,0,0,1,0,0,38
1918,2,25594,413,1,1,21,6,200,0,0,0,0,0,13
1918,3,27772,622,2,3,36,28,87,0,0,0,0,1,9
1918,4,25848,833,1,2,16,14,64,0,0,1,0,3,12
1918,5,34277,834,1,2,26,33,61,0,0,0,0,10,9
1918,6,28957,344,2,0,20,12,18,0,1,0,0,0,4
1918,7,33250,119,0,1,6,6,28,0,0,0,0,1,10
1918,8,30481,213,4,3,10,8,32,0,0,0,0,0,5
1918,9,35432,224,31,2,44,10,48,0,3,0,0,2,5
1918,10,36383,7849,2209,10,126,9,4,2,184,5,4,4,1
1918,11,26057,432,126,0,12,25,4,0,8,0,0,1,0
1918,12,26018,807,109,0,37,20,7,0,18,0,0,2,0
