Year,Month,Population,Flu,Flu_BP,Flu_LP,Flu_O,BP,LP,Flu_deaths,Flu_BP_deaths,Flu_LP_deaths,Flu_O_deaths,BP_deaths,LP_deaths
1917,10,29798,52,0,0,0,2,5,0,0,0,0,0,0
1917,11,29921,93,0,0,0,2,11,0,0,0,0,2,1
1917,12,28901,124,0,0,0,7,20,0,0,0,0,2,0
1918,1,28172,64,0,0,4,3,24,0,0,0,0,1,4
1918,2,29414,48,0,0,0,3,14,0,0,0,0,2,0
1918,3,30059,196,0,2,9,3,26,0,0,0,0,0,6
1918,4,32328,779,0,2,13,15,27,0,0,0,0,5,10
1918,5,17429,143,1,0,12,3,11,0,0,0,1,0,1
1918,6,24086,69,0,0,4,4,6,0,0,0,0,2,0
1918,7,22201,14,0,0,3,1,8,0,0,0,0,0,0
1918,8,22378,45,0,0,12,4,20,0,0,0,0,2,5
1918,9,10633,268,1,2,25,14,33,0,1,0,0,5,9
1918,10,15008,1579,22,2,32,236,15,1,2,1,0,59,5
1918,11,13477,191,16,0,4,241,7,0,0,0,0,73,2
1918,12,10297,22,3,0,1,26,0,0,0,0,0,8,0
